05:19:49 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:19:50 PM     all     15.38      0.00      3.97      0.00      0.00     80.64
05:19:51 PM     all     17.93      0.00      3.97      0.00      0.00     78.10
05:19:52 PM     all     16.82      0.00      4.71      0.51      0.00     77.96
05:19:53 PM     all     16.26      0.00      3.59      0.00      0.00     80.15
05:19:54 PM     all     18.41      0.00      4.60      0.00      0.00     76.98
05:19:55 PM     all     16.58      0.00      3.73      0.00      0.00     79.69
05:19:56 PM     all     17.29      0.00      4.48      0.00      0.00     78.23
05:19:57 PM     all     16.62      0.00      4.44      0.00      0.00     78.93
05:19:58 PM     all     17.54      0.00      4.99      0.00      0.00     77.46
05:19:59 PM     all     16.26      0.00      4.61      0.00      0.00     79.13
05:20:00 PM     all     18.60      0.00      3.82      0.00      0.00     77.58
05:20:01 PM     all     16.13      0.00      4.23      0.00      0.00     79.64
05:20:02 PM     all     18.69      0.00      3.84      0.51      0.00     76.95
05:20:03 PM     all     16.97      0.00      2.83      0.00      0.00     80.21
05:20:04 PM     all     17.70      0.00      3.23      0.00      0.00     79.07
05:20:05 PM     all     16.24      0.00      3.35      0.00      0.00     80.41
05:20:06 PM     all     23.81      0.00      4.38      0.00      0.00     71.81
05:20:07 PM     all     16.65      0.00      3.94      0.25      0.00     79.16
05:20:08 PM     all     16.52      0.00      4.23      0.00      0.00     79.26
05:20:09 PM     all     16.84      0.00      3.60      0.00      0.00     79.56
05:20:10 PM     all     15.79      0.00      3.98      0.00      0.00     80.23
05:20:11 PM     all     18.02      0.00      4.19      0.00      0.00     77.79
05:20:12 PM     all     16.24      0.00      4.31      0.00      0.00     79.44
05:20:13 PM     all     16.97      0.00      4.11      0.00      0.00     78.92
05:20:14 PM     all     16.31      0.00      4.20      0.13      0.00     79.36
05:20:15 PM     all     17.48      0.00      3.73      0.00      0.00     78.79
05:20:16 PM     all     16.41      0.00      3.72      0.00      0.00     79.87
05:20:17 PM     all     18.34      0.00      3.95      0.00      0.00     77.71
05:20:18 PM     all     17.20      0.00      3.98      0.51      0.00     78.31

Average:        all     17.24      0.00      4.03      0.07      0.00     78.67

