Script started on 2022-06-03 15:05:53+0200

2 %, 5 %, 48, 756 MiB, 10419 MiB, 88 MiB, 11264 MiB, P8, 22 %, 19.50 W
0 %, 4 %, 47, 756 MiB, 10419 MiB, 88 MiB, 11264 MiB, P8, 22 %, 13.73 W
0 %, 4 %, 47, 756 MiB, 10418 MiB, 88 MiB, 11264 MiB, P8, 22 %, 13.63 W
1 %, 4 %, 47, 756 MiB, 10418 MiB, 88 MiB, 11264 MiB, P8, 22 %, 15.88 W
0 %, 4 %, 47, 756 MiB, 10418 MiB, 88 MiB, 11264 MiB, P8, 22 %, 13.44 W

51 %, 28 %, 60, 1572 MiB, 9603 MiB, 88 MiB, 11264 MiB, P2, 20 %, 185.36 W
54 %, 30 %, 61, 1572 MiB, 9602 MiB, 88 MiB, 11264 MiB, P2, 21 %, 139.64 W
54 %, 30 %, 61, 1572 MiB, 9602 MiB, 88 MiB, 11264 MiB, P2, 21 %, 146.46 W
53 %, 30 %, 62, 1572 MiB, 9602 MiB, 88 MiB, 11264 MiB, P2, 21 %, 174.44 W
51 %, 28 %, 62, 1572 MiB, 9602 MiB, 88 MiB, 11264 MiB, P2, 22 %, 220.00 W
54 %, 30 %, 63, 1573 MiB, 9602 MiB, 88 MiB, 11264 MiB, P2, 23 %, 185.64 W
52 %, 29 %, 63, 1573 MiB, 9602 MiB, 88 MiB, 11264 MiB, P2, 23 %, 211.04 W
50 %, 28 %, 64, 1580 MiB, 9595 MiB, 88 MiB, 11264 MiB, P2, 24 %, 142.62 W
51 %, 28 %, 64, 1580 MiB, 9595 MiB, 88 MiB, 11264 MiB, P2, 24 %, 145.42 W
50 %, 28 %, 65, 1573 MiB, 9602 MiB, 88 MiB, 11264 MiB, P2, 25 %, 149.60 W
52 %, 29 %, 65, 1573 MiB, 9602 MiB, 88 MiB, 11264 MiB, P2, 25 %, 199.33 W
55 %, 31 %, 66, 1573 MiB, 9602 MiB, 88 MiB, 11264 MiB, P2, 26 %, 201.05 W
50 %, 28 %, 66, 1573 MiB, 9602 MiB, 88 MiB, 11264 MiB, P2, 27 %, 237.15 W
51 %, 28 %, 67, 1572 MiB, 9602 MiB, 88 MiB, 11264 MiB, P2, 27 %, 223.01 W
50 %, 28 %, 67, 1572 MiB, 9603 MiB, 88 MiB, 11264 MiB, P2, 28 %, 177.59 W

