55.96 W, 0 %, 0 %, 20 %, 48, N/A, 705 MiB, 10469 MiB, 88 MiB, 11264 MiB, P2, 20 %, 55.96 W
24.88 W, 0 %, 1 %, 20 %, 48, N/A, 705 MiB, 10469 MiB, 88 MiB, 11264 MiB, P5, 20 %, 24.88 W
24.79 W, 3 %, 2 %, 20 %, 47, N/A, 705 MiB, 10469 MiB, 88 MiB, 11264 MiB, P5, 20 %, 24.79 W
24.59 W, 2 %, 3 %, 20 %, 47, N/A, 705 MiB, 10469 MiB, 88 MiB, 11264 MiB, P5, 20 %, 24.59 W
20.58 W, 1 %, 4 %, 20 %, 47, N/A, 705 MiB, 10469 MiB, 88 MiB, 11264 MiB, P8, 20 %, 20.58 W
20.58 W, 0 %, 4 %, 20 %, 47, N/A, 705 MiB, 10469 MiB, 88 MiB, 11264 MiB, P8, 20 %, 20.58 W
20.49 W, 0 %, 4 %, 20 %, 46, N/A, 705 MiB, 10469 MiB, 88 MiB, 11264 MiB, P8, 20 %, 20.49 W
20.29 W, 1 %, 4 %, 20 %, 46, N/A, 705 MiB, 10469 MiB, 88 MiB, 11264 MiB, P8, 20 %, 20.29 W
20.39 W, 0 %, 4 %, 20 %, 46, N/A, 705 MiB, 10469 MiB, 88 MiB, 11264 MiB, P8, 20 %, 20.39 W
20.28 W, 10 %, 7 %, 20 %, 46, N/A, 705 MiB, 10469 MiB, 88 MiB, 11264 MiB, P8, 20 %, 20.28 W
63.94 W, 5 %, 0 %, 20 %, 48, N/A, 1198 MiB, 9976 MiB, 88 MiB, 11264 MiB, P2, 20 %, 63.94 W
73.85 W, 28 %, 7 %, 20 %, 49, N/A, 1199 MiB, 9975 MiB, 88 MiB, 11264 MiB, P2, 20 %, 73.85 W
71.89 W, 29 %, 7 %, 20 %, 49, N/A, 1199 MiB, 9975 MiB, 88 MiB, 11264 MiB, P2, 20 %, 71.89 W
71.70 W, 29 %, 7 %, 20 %, 49, N/A, 1199 MiB, 9975 MiB, 88 MiB, 11264 MiB, P2, 20 %, 71.70 W
73.34 W, 27 %, 7 %, 20 %, 49, N/A, 1199 MiB, 9975 MiB, 88 MiB, 11264 MiB, P2, 20 %, 73.34 W
69.85 W, 27 %, 7 %, 20 %, 50, N/A, 1199 MiB, 9975 MiB, 88 MiB, 11264 MiB, P2, 20 %, 69.85 W
69.17 W, 28 %, 7 %, 20 %, 50, N/A, 1199 MiB, 9975 MiB, 88 MiB, 11264 MiB, P2, 20 %, 69.17 W
70.93 W, 27 %, 7 %, 20 %, 50, N/A, 1199 MiB, 9975 MiB, 88 MiB, 11264 MiB, P2, 20 %, 70.93 W
71.03 W, 27 %, 7 %, 20 %, 50, N/A, 1199 MiB, 9975 MiB, 88 MiB, 11264 MiB, P2, 20 %, 71.03 W
72.77 W, 29 %, 7 %, 20 %, 50, N/A, 1199 MiB, 9975 MiB, 88 MiB, 11264 MiB, P2, 20 %, 72.77 W
71.33 W, 28 %, 7 %, 20 %, 50, N/A, 1199 MiB, 9975 MiB, 88 MiB, 11264 MiB, P2, 20 %, 71.33 W
72.26 W, 28 %, 7 %, 20 %, 50, N/A, 1199 MiB, 9975 MiB, 88 MiB, 11264 MiB, P2, 20 %, 72.26 W
73.82 W, 29 %, 7 %, 20 %, 51, N/A, 1199 MiB, 9975 MiB, 88 MiB, 11264 MiB, P2, 20 %, 73.82 W
73.93 W, 28 %, 7 %, 20 %, 51, N/A, 1199 MiB, 9975 MiB, 88 MiB, 11264 MiB, P2, 20 %, 73.93 W
69.56 W, 28 %, 7 %, 20 %, 51, N/A, 1199 MiB, 9975 MiB, 88 MiB, 11264 MiB, P2, 20 %, 69.56 W
69.10 W, 29 %, 7 %, 20 %, 51, N/A, 1199 MiB, 9975 MiB, 88 MiB, 11264 MiB, P2, 20 %, 69.10 W
62.78 W, 28 %, 7 %, 20 %, 51, N/A, 1093 MiB, 10081 MiB, 88 MiB, 11264 MiB, P2, 20 %, 62.78 W
64.85 W, 0 %, 0 %, 20 %, 51, N/A, 706 MiB, 10468 MiB, 88 MiB, 11264 MiB, P0, 20 %, 64.85 W
61.91 W, 0 %, 0 %, 20 %, 50, N/A, 729 MiB, 10445 MiB, 88 MiB, 11264 MiB, P0, 20 %, 61.91 W
61.88 W, 0 %, 0 %, 20 %, 51, N/A, 729 MiB, 10445 MiB, 88 MiB, 11264 MiB, P0, 20 %, 61.88 W
